Angle (deg),Magnitude (dB),Phase (deg)
66.3,-18.4641,-131.44
66.4,-18.3948,-131.446
66.5,-18.3261,-131.452
66.6,-18.258,-131.458
66.7,-18.1905,-131.465
66.8,-18.1235,-131.472
66.9,-18.057,-131.48
67.0,-17.9911,-131.489
67.1,-17.9257,-131.498
67.2,-17.8608,-131.507
67.3,-17.7964,-131.517
67.4,-17.7325,-131.528
67.5,-17.6691,-131.54
67.6,-17.6061,-131.552
67.7,-17.5436,-131.564
67.8,-17.4815,-131.577
67.9,-17.4199,-131.591
68.0,-17.3587,-131.606
68.1,-17.2979,-131.621
68.2,-17.2375,-131.637
68.3,-17.1775,-131.654
68.4,-17.1179,-131.671
68.5,-17.0587,-131.689
68.6,-16.9999,-131.707
68.7,-16.9414,-131.727
68.8,-16.8833,-131.747
68.9,-16.8255,-131.768
69.0,-16.768,-131.79
69.1,-16.7109,-131.812
69.2,-16.6541,-131.835
69.3,-16.5976,-131.859
69.4,-16.5414,-131.884
69.5,-16.4855,-131.909
69.6,-16.4299,-131.936
69.7,-16.3746,-131.963
69.8,-16.3196,-131.991
69.9,-16.2648,-132.019
70.0,-16.2102,-132.049
70.1,-16.156,-132.079
70.2,-16.1019,-132.111
70.3,-16.0481,-132.143
70.4,-15.9945,-132.176
70.5,-15.9412,-132.209
70.6,-15.888,-132.244
70.7,-15.8351,-132.28
70.8,-15.7823,-132.316
70.9,-15.7298,-132.353
71.0,-15.6774,-132.391
71.1,-15.6252,-132.43
71.2,-15.5732,-132.47
71.3,-15.5213,-132.511
71.4,-15.4696,-132.553
71.5,-15.4181,-132.596
71.6,-15.3666,-132.639
71.7,-15.3154,-132.684
71.8,-15.2642,-132.729
71.9,-15.2132,-132.775
72.0,-15.1623,-132.823
72.1,-15.1115,-132.871
72.2,-15.0607,-132.92
72.3,-15.0101,-132.97
72.4,-14.9596,-133.021
72.5,-14.9092,-133.073
72.6,-14.8588,-133.126
72.7,-14.8085,-133.18
72.8,-14.7582,-133.235
72.9,-14.708,-133.291
73.0,-14.6579,-133.347
73.1,-14.6078,-133.405
73.2,-14.5577,-133.464
73.3,-14.5077,-133.524
73.4,-14.4577,-133.584
73.5,-14.4077,-133.646
73.6,-14.3577,-133.709
73.7,-14.3077,-133.773
73.8,-14.2577,-133.837
73.9,-14.2077,-133.903
74.0,-14.1576,-133.97
74.1,-14.1076,-134.038
74.2,-14.0575,-134.106
74.3,-14.0074,-134.176
74.4,-13.9572,-134.247
74.5,-13.907,-134.319
74.6,-13.8567,-134.392
74.7,-13.8063,-134.465
74.8,-13.7559,-134.54
74.9,-13.7054,-134.616
75.0,-13.6548,-134.693
75.1,-13.6042,-134.771
75.2,-13.5534,-134.85
75.3,-13.5025,-134.93
75.4,-13.4515,-135.011
75.5,-13.4004,-135.094
75.6,-13.3491,-135.177
75.7,-13.2977,-135.261
75.8,-13.2462,-135.347
75.9,-13.1946,-135.433
76.0,-13.1427,-135.521
76.1,-13.0907,-135.609
76.2,-13.0386,-135.699
76.3,-12.9863,-135.79
76.4,-12.9338,-135.881
76.5,-12.881,-135.974
76.6,-12.8281,-136.068
76.7,-12.775,-136.163
76.8,-12.7217,-136.26
76.9,-12.6682,-136.357
77.0,-12.6144,-136.455
77.1,-12.5604,-136.555
77.2,-12.5062,-136.656
77.3,-12.4517,-136.758
77.4,-12.3969,-136.861
77.5,-12.3419,-136.965
77.6,-12.2866,-137.07
77.7,-12.2311,-137.176
77.8,-12.1752,-137.284
77.9,-12.1191,-137.393
78.0,-12.0626,-137.503
78.1,-12.0058,-137.614
78.2,-11.9488,-137.726
78.3,-11.8913,-137.839
78.4,-11.8336,-137.954
78.5,-11.7755,-138.07
78.6,-11.7171,-138.187
78.7,-11.6583,-138.306
78.8,-11.5991,-138.425
78.9,-11.5395,-138.546
79.0,-11.4796,-138.669
79.1,-11.4192,-138.792
79.2,-11.3585,-138.917
79.3,-11.2974,-139.043
79.4,-11.2358,-139.171
79.5,-11.1738,-139.3
79.6,-11.1113,-139.43
79.7,-11.0484,-139.561
79.8,-10.9851,-139.694
79.9,-10.9213,-139.829
80.0,-10.857,-139.965
80.1,-10.7922,-140.102
80.2,-10.7269,-140.241
80.3,-10.6611,-140.381
80.4,-10.5948,-140.523
80.5,-10.528,-140.667
80.6,-10.4606,-140.812
80.7,-10.3927,-140.959
80.8,-10.3242,-141.107
80.9,-10.2552,-141.257
81.0,-10.1855,-141.409
81.1,-10.1153,-141.562
81.2,-10.0445,-141.718
81.3,-9.97308,-141.875
81.4,-9.90104,-142.034
81.5,-9.82836,-142.195
81.6,-9.75503,-142.357
81.7,-9.68105,-142.522
81.8,-9.60639,-142.689
81.9,-9.53106,-142.858
82.0,-9.45503,-143.029
82.1,-9.37829,-143.202
82.2,-9.30084,-143.378
82.3,-9.22265,-143.556
82.4,-9.14372,-143.736
82.5,-9.06403,-143.919
82.6,-8.98358,-144.104
82.7,-8.90233,-144.292
82.8,-8.82029,-144.482
82.9,-8.73744,-144.675
83.0,-8.65376,-144.871
83.1,-8.56925,-145.07
83.2,-8.48387,-145.271
83.3,-8.39763,-145.476
83.4,-8.31051,-145.684
83.5,-8.22248,-145.896
83.6,-8.13355,-146.11
83.7,-8.04368,-146.329
83.8,-7.95286,-146.55
83.9,-7.86109,-146.776
84.0,-7.76833,-147.005
84.1,-7.67459,-147.239
84.2,-7.57983,-147.476
84.3,-7.48405,-147.718
84.4,-7.38722,-147.964
84.5,-7.28933,-148.215
84.6,-7.19036,-148.471
84.7,-7.09029,-148.731
84.8,-6.98912,-148.997
84.9,-6.88681,-149.268
85.0,-6.78335,-149.545
