Angle (deg),Magnitude (dB),Phase (deg)
87.1,-0.422422,179.877
87.2,-0.407874,179.881
87.3,-0.393324,179.885
87.4,-0.378772,179.889
87.5,-0.364218,179.894
87.6,-0.349663,179.898
87.7,-0.335106,179.902
87.8,-0.320548,179.906
87.9,-0.305988,179.911
88.0,-0.291427,179.915
88.1,-0.276864,179.919
88.2,-0.2623,179.923
88.3,-0.247735,179.928
88.4,-0.233169,179.932
88.5,-0.218601,179.936
88.6,-0.204033,179.94
88.7,-0.189463,179.945
88.8,-0.174893,179.949
88.9,-0.160322,179.953
89.0,-0.145749,179.957
89.1,-0.131177,179.962
89.2,-0.116603,179.966
89.3,-0.102029,179.97
89.4,-0.0874547,179.974
89.5,-0.0728797,179.979
89.6,-0.0583043,179.983
89.7,-0.0437286,179.987
89.8,-0.0291526,179.992
89.9,-0.0145763,179.996
90.0,0.0,180.0
