Angle (deg),Magnitude (dB),Phase (deg)
44.8,-2.06023,154.709
44.9,-2.05875,155.165
45.0,-2.0578,155.621
45.1,-2.05737,156.078
45.2,-2.05748,156.535
45.3,-2.05813,156.994
45.4,-2.05933,157.453
45.5,-2.06109,157.914
45.6,-2.06342,158.376
45.7,-2.06633,158.839
45.8,-2.06983,159.303
45.9,-2.07393,159.769
46.0,-2.07866,160.237
46.1,-2.08401,160.707
46.2,-2.09001,161.178
46.3,-2.09668,161.652
46.4,-2.10402,162.127
46.5,-2.11207,162.606
46.6,-2.12084,163.086
46.7,-2.13035,163.57
46.8,-2.14063,164.056
46.9,-2.15169,164.545
47.0,-2.16358,165.037
47.1,-2.17631,165.533
47.2,-2.18992,166.032
47.3,-2.20444,166.535
47.4,-2.21991,167.042
47.5,-2.23636,167.553
47.6,-2.25382,168.068
47.7,-2.27235,168.588
47.8,-2.29199,169.112
47.9,-2.31279,169.642
48.0,-2.3348,170.177
48.1,-2.35807,170.717
48.2,-2.38266,171.263
48.3,-2.40865,171.815
48.4,-2.43609,172.374
48.5,-2.46506,172.939
48.6,-2.49563,173.511
48.7,-2.5279,174.09
48.8,-2.56195,174.676
48.9,-2.59788,175.271
49.0,-2.63579,175.873
49.1,-2.6758,176.484
49.2,-2.71802,177.105
49.3,-2.7626,177.734
49.4,-2.80966,178.373
49.5,-2.85936,179.022
49.6,-2.91187,179.681
49.7,-2.96737,-179.648
49.8,-3.02604,-178.967
49.9,-3.08809,-178.273
50.0,-3.15376,-177.567
50.1,-3.22329,-176.849
50.2,-3.29694,-176.118
50.3,-3.37502,-175.373
50.4,-3.45784,-174.614
50.5,-3.54574,-173.841
50.6,-3.63911,-173.053
50.7,-3.73836,-172.25
50.8,-3.84396,-171.431
50.9,-3.9564,-170.597
51.0,-4.07624,-169.746
51.1,-4.20407,-168.879
51.2,-4.34059,-167.995
51.3,-4.48652,-167.095
51.4,-4.6427,-166.179
51.5,-4.81003,-165.247
51.6,-4.98953,-164.3
51.7,-5.18235,-163.338
51.8,-5.38975,-162.362
51.9,-5.61316,-161.375
52.0,-5.85421,-160.379
52.1,-6.1147,-159.375
52.2,-6.39671,-158.369
52.3,-6.70259,-157.364
52.4,-7.03507,-156.367
52.5,-7.39726,-155.386
52.6,-7.79278,-154.431
52.7,-8.22588,-153.516
52.8,-8.70153,-152.658
52.9,-9.22564,-151.882
53.0,-9.8053,-151.218
53.1,-10.449,-150.709
53.2,-11.1671,-150.416
53.3,-11.9722,-150.425
53.4,-12.8796,-150.862
53.5,-13.9071,-151.917
53.6,-15.0744,-153.887
53.7,-16.3975,-157.249
53.8,-17.8719,-162.778
53.9,-19.4218,-171.651
54.0,-20.788,174.802
54.1,-21.4442,156.759
54.2,-20.9746,138.054
54.3,-19.6473,123.253
54.4,-18.0246,113.368
54.5,-16.4358,107.22
54.6,-14.9908,103.532
54.7,-13.706,101.431
54.8,-12.5688,100.373
54.9,-11.5599,100.022
55.0,-10.6611,100.16
55.1,-9.8567,100.647
55.2,-9.13353,101.384
55.3,-8.48085,102.304
55.4,-7.88973,103.355
55.5,-7.35276,104.502
55.6,-6.86369,105.716
55.7,-6.41723,106.977
55.8,-6.00884,108.267
55.9,-5.6346,109.574
56.0,-5.2911,110.886
56.1,-4.97535,112.197
56.2,-4.68472,113.5
56.3,-4.41686,114.789
56.4,-4.16969,116.061
56.5,-3.94136,117.313
56.6,-3.7302,118.542
56.7,-3.5347,119.746
56.8,-3.35352,120.925
56.9,-3.18544,122.077
57.0,-3.02936,123.202
57.1,-2.88428,124.3
57.2,-2.74929,125.37
57.3,-2.62357,126.414
57.4,-2.50638,127.43
57.5,-2.39703,128.419
57.6,-2.29491,129.383
57.7,-2.19945,130.321
57.8,-2.11014,131.234
57.9,-2.0265,132.123
58.0,-1.94811,132.989
58.1,-1.87458,133.832
58.2,-1.80554,134.652
58.3,-1.74067,135.452
58.4,-1.67966,136.23
58.5,-1.62224,136.989
58.6,-1.56815,137.728
58.7,-1.51716,138.448
58.8,-1.46906,139.151
58.9,-1.42364,139.836
59.0,-1.38073,140.505
59.1,-1.34016,141.158
59.2,-1.30176,141.794
59.3,-1.26541,142.417
59.4,-1.23097,143.024
59.5,-1.19831,143.618
59.6,-1.16732,144.199
59.7,-1.1379,144.766
59.8,-1.10995,145.321
59.9,-1.08338,145.865
60.0,-1.0581,146.396
60.1,-1.03405,146.917
60.2,-1.01115,147.427
60.3,-0.989323,147.927
60.4,-0.968518,148.417
60.5,-0.948673,148.897
60.6,-0.929735,149.368
60.7,-0.911653,149.83
60.8,-0.894379,150.284
60.9,-0.877871,150.729
61.0,-0.862087,151.166
61.1,-0.846989,151.596
61.2,-0.83254,152.018
61.3,-0.818708,152.433
61.4,-0.805461,152.841
61.5,-0.792769,153.243
61.6,-0.780605,153.638
61.7,-0.768943,154.026
61.8,-0.757759,154.409
61.9,-0.74703,154.786
62.0,-0.736734,155.157
62.1,-0.726852,155.523
62.2,-0.717366,155.884
62.3,-0.708256,156.239
62.4,-0.699506,156.59
62.5,-0.691102,156.936
62.6,-0.683028,157.278
62.7,-0.67527,157.615
62.8,-0.667816,157.948
62.9,-0.660653,158.277
63.0,-0.65377,158.602
63.1,-0.647155,158.923
63.2,-0.6408,159.24
63.3,-0.634694,159.554
63.4,-0.628829,159.865
63.5,-0.623196,160.172
63.6,-0.617788,160.476
63.7,-0.612596,160.778
63.8,-0.607615,161.076
63.9,-0.602838,161.372
64.0,-0.598259,161.665
64.1,-0.593872,161.955
64.2,-0.589673,162.243
64.3,-0.585657,162.529
64.4,-0.581819,162.812
64.5,-0.578155,163.094
64.6,-0.574662,163.373
64.7,-0.571337,163.651
64.8,-0.568177,163.927
64.9,-0.565179,164.201
65.0,-0.562341,164.473
65.1,-0.559661,164.745
65.2,-0.557137,165.015
65.3,-0.554769,165.283
65.4,-0.552556,165.551
65.5,-0.550496,165.817
65.6,-0.54859,166.083
65.7,-0.546838,166.348
65.8,-0.545241,166.613
65.9,-0.543799,166.877
66.0,-0.542514,167.14
66.1,-0.541387,167.403
66.2,-0.540421,167.666
66.3,-0.539617,167.929
66.4,-0.53898,168.193
66.5,-0.538513,168.456
66.6,-0.538219,168.72
66.7,-0.538103,168.985
66.8,-0.538171,169.25
66.9,-0.538428,169.516
67.0,-0.538882,169.783
67.1,-0.539538,170.052
67.2,-0.540407,170.322
67.3,-0.541495,170.594
67.4,-0.542814,170.867
67.5,-0.544375,171.143
67.6,-0.54619,171.421
67.7,-0.548272,171.702
67.8,-0.550636,171.985
67.9,-0.5533,172.272
68.0,-0.556281,172.562
68.1,-0.5596,172.856
68.2,-0.56328,173.154
68.3,-0.567345,173.457
68.4,-0.571823,173.765
68.5,-0.576745,174.078
68.6,-0.582146,174.397
68.7,-0.588065,174.722
68.8,-0.594543,175.054
68.9,-0.60163,175.394
69.0,-0.609379,175.742
69.1,-0.617852,176.098
69.2,-0.627118,176.465
69.3,-0.637253,176.842
69.4,-0.648348,177.231
69.5,-0.660502,177.632
69.6,-0.673831,178.047
69.7,-0.688466,178.477
69.8,-0.70456,178.924
69.9,-0.722288,179.389
70.0,-0.741852,179.874
70.1,-0.763492,-179.619
70.2,-0.787482,-179.088
70.3,-0.814151,-178.531
70.4,-0.843883,-177.943
70.5,-0.877138,-177.323
70.6,-0.914465,-176.666
70.7,-0.956525,-175.968
70.8,-1.00412,-175.224
70.9,-1.05822,-174.429
71.0,-1.12004,-173.576
71.1,-1.19106,-172.659
71.2,-1.27316,-171.668
71.3,-1.36868,-170.594
71.4,-1.48063,-169.426
71.5,-1.61289,-168.152
71.6,-1.7705,-166.757
71.7,-1.96013,-165.228
71.8,-2.19068,-163.549
71.9,-2.47419,-161.706
72.0,-2.82722,-159.692
72.1,-3.2728,-157.511
72.2,-3.8435,-155.195
72.3,-4.58602,-152.836
72.4,-5.56816,-150.651
72.5,-6.88866,-149.131
72.6,-8.68556,-149.419
