Angle (deg),Magnitude (dB),Phase (deg)
61.5,-2.37087,161.13
61.6,-2.36309,161.191
61.7,-2.3553,161.251
61.8,-2.34751,161.311
61.9,-2.33971,161.371
62.0,-2.3319,161.431
62.1,-2.32409,161.492
62.2,-2.31627,161.552
62.3,-2.30845,161.613
62.4,-2.30062,161.673
62.5,-2.29279,161.734
62.6,-2.28495,161.795
62.7,-2.2771,161.856
62.8,-2.26925,161.916
62.9,-2.26139,161.977
63.0,-2.25353,162.038
63.1,-2.24567,162.099
63.2,-2.23779,162.16
63.3,-2.22991,162.221
63.4,-2.22203,162.283
63.5,-2.21414,162.344
63.6,-2.20625,162.405
63.7,-2.19835,162.467
63.8,-2.19044,162.528
63.9,-2.18253,162.589
64.0,-2.17461,162.651
64.1,-2.16669,162.713
64.2,-2.15877,162.774
64.3,-2.15083,162.836
64.4,-2.1429,162.898
64.5,-2.13495,162.96
64.6,-2.12701,163.021
64.7,-2.11905,163.083
64.8,-2.1111,163.145
64.9,-2.10313,163.207
65.0,-2.09517,163.27
65.1,-2.08719,163.332
65.2,-2.07922,163.394
65.3,-2.07123,163.456
65.4,-2.06324,163.519
65.5,-2.05525,163.581
65.6,-2.04725,163.643
65.7,-2.03925,163.706
65.8,-2.03124,163.768
65.9,-2.02323,163.831
66.0,-2.01521,163.894
66.1,-2.00719,163.956
66.2,-1.99916,164.019
66.3,-1.99113,164.082
66.4,-1.9831,164.145
66.5,-1.97505,164.208
66.6,-1.96701,164.271
66.7,-1.95896,164.334
66.8,-1.9509,164.397
66.9,-1.94284,164.46
67.0,-1.93478,164.523
67.1,-1.92671,164.587
67.2,-1.91863,164.65
67.3,-1.91056,164.713
67.4,-1.90247,164.777
67.5,-1.89438,164.84
67.6,-1.88629,164.904
67.7,-1.8782,164.967
67.8,-1.8701,165.031
67.9,-1.86199,165.094
68.0,-1.85388,165.158
68.1,-1.84577,165.222
68.2,-1.83765,165.286
68.3,-1.82952,165.35
68.4,-1.8214,165.413
68.5,-1.81327,165.477
68.6,-1.80513,165.541
68.7,-1.79699,165.605
68.8,-1.78885,165.67
68.9,-1.7807,165.734
69.0,-1.77254,165.798
69.1,-1.76439,165.862
69.2,-1.75623,165.926
69.3,-1.74806,165.991
69.4,-1.73989,166.055
69.5,-1.73172,166.12
69.6,-1.72354,166.184
69.7,-1.71536,166.249
69.8,-1.70717,166.313
69.9,-1.69899,166.378
70.0,-1.69079,166.443
70.1,-1.68259,166.507
70.2,-1.67439,166.572
70.3,-1.66619,166.637
70.4,-1.65798,166.702
70.5,-1.64977,166.767
70.6,-1.64155,166.832
70.7,-1.63333,166.896
70.8,-1.6251,166.962
70.9,-1.61688,167.027
71.0,-1.60864,167.092
71.1,-1.60041,167.157
71.2,-1.59217,167.222
71.3,-1.58393,167.287
71.4,-1.57568,167.353
71.5,-1.56743,167.418
71.6,-1.55917,167.483
71.7,-1.55092,167.549
71.8,-1.54266,167.614
71.9,-1.53439,167.68
72.0,-1.52612,167.745
72.1,-1.51785,167.811
72.2,-1.50958,167.876
72.3,-1.5013,167.942
72.4,-1.49301,168.008
72.5,-1.48473,168.074
72.6,-1.47644,168.139
72.7,-1.46815,168.205
72.8,-1.45985,168.271
72.9,-1.45155,168.337
73.0,-1.44325,168.403
73.1,-1.43494,168.469
73.2,-1.42663,168.535
73.3,-1.41832,168.601
73.4,-1.41,168.667
73.5,-1.40169,168.733
73.6,-1.39336,168.799
73.7,-1.38504,168.866
73.8,-1.37671,168.932
73.9,-1.36838,168.998
74.0,-1.36004,169.065
74.1,-1.3517,169.131
