Angle (deg),Magnitude (dB),Phase (deg)
64.8,-8.00512,-142.157
64.9,-8.00299,-142.141
65.0,-8.00081,-142.125
65.1,-7.99859,-142.111
65.2,-7.99632,-142.097
65.3,-7.994,-142.083
65.4,-7.99163,-142.071
65.5,-7.98922,-142.059
65.6,-7.98675,-142.048
65.7,-7.98423,-142.038
65.8,-7.98165,-142.029
65.9,-7.97902,-142.02
66.0,-7.97633,-142.013
66.1,-7.97358,-142.006
66.2,-7.97078,-142.0
66.3,-7.96791,-141.994
66.4,-7.96498,-141.99
66.5,-7.96198,-141.986
66.6,-7.95893,-141.983
66.7,-7.9558,-141.981
66.8,-7.95261,-141.98
66.9,-7.94934,-141.98
67.0,-7.94601,-141.981
67.1,-7.9426,-141.982
67.2,-7.93912,-141.984
67.3,-7.93556,-141.987
67.4,-7.93193,-141.991
67.5,-7.92821,-141.996
67.6,-7.92442,-142.001
67.7,-7.92054,-142.008
67.8,-7.91658,-142.015
67.9,-7.91253,-142.024
68.0,-7.9084,-142.033
68.1,-7.90417,-142.043
68.2,-7.89986,-142.054
68.3,-7.89545,-142.066
68.4,-7.89095,-142.078
68.5,-7.88636,-142.092
68.6,-7.88166,-142.106
68.7,-7.87686,-142.122
68.8,-7.87197,-142.138
68.9,-7.86697,-142.155
69.0,-7.86186,-142.174
69.1,-7.85665,-142.193
69.2,-7.85132,-142.213
69.3,-7.84589,-142.234
69.4,-7.84034,-142.256
69.5,-7.83468,-142.279
69.6,-7.82889,-142.302
69.7,-7.82299,-142.327
69.8,-7.81697,-142.353
69.9,-7.81082,-142.379
70.0,-7.80455,-142.407
70.1,-7.79815,-142.436
70.2,-7.79162,-142.465
70.3,-7.78495,-142.496
70.4,-7.77816,-142.527
70.5,-7.77122,-142.559
70.6,-7.76414,-142.593
70.7,-7.75693,-142.627
70.8,-7.74957,-142.663
70.9,-7.74206,-142.699
71.0,-7.7344,-142.736
71.1,-7.7266,-142.775
71.2,-7.71863,-142.814
71.3,-7.71052,-142.854
71.4,-7.70224,-142.896
71.5,-7.69381,-142.938
71.6,-7.68521,-142.982
71.7,-7.67644,-143.026
71.8,-7.66751,-143.071
71.9,-7.6584,-143.118
72.0,-7.64912,-143.165
72.1,-7.63966,-143.214
72.2,-7.63003,-143.263
72.3,-7.62021,-143.314
72.4,-7.61021,-143.365
72.5,-7.60002,-143.418
72.6,-7.58964,-143.472
72.7,-7.57907,-143.526
72.8,-7.5683,-143.582
72.9,-7.55733,-143.639
73.0,-7.54617,-143.697
73.1,-7.53479,-143.756
73.2,-7.52321,-143.816
73.3,-7.51142,-143.877
73.4,-7.49942,-143.939
73.5,-7.4872,-144.002
73.6,-7.47476,-144.067
73.7,-7.4621,-144.132
73.8,-7.44922,-144.198
73.9,-7.43611,-144.266
74.0,-7.42276,-144.334
74.1,-7.40918,-144.404
74.2,-7.39536,-144.475
74.3,-7.3813,-144.547
74.4,-7.367,-144.62
74.5,-7.35245,-144.694
74.6,-7.33765,-144.769
74.7,-7.3226,-144.845
74.8,-7.30728,-144.923
74.9,-7.29171,-145.001
75.0,-7.27588,-145.081
75.1,-7.25977,-145.161
75.2,-7.2434,-145.243
75.3,-7.22675,-145.326
75.4,-7.20983,-145.41
75.5,-7.19262,-145.495
75.6,-7.17513,-145.582
75.7,-7.15735,-145.669
75.8,-7.13928,-145.758
75.9,-7.12091,-145.848
76.0,-7.10225,-145.939
76.1,-7.08329,-146.031
76.2,-7.06401,-146.124
76.3,-7.04443,-146.218
76.4,-7.02454,-146.314
76.5,-7.00433,-146.41
76.6,-6.9838,-146.508
76.7,-6.96294,-146.607
76.8,-6.94176,-146.708
76.9,-6.92024,-146.809
77.0,-6.8984,-146.912
77.1,-6.87621,-147.015
77.2,-6.85367,-147.12
77.3,-6.8308,-147.227
77.4,-6.80757,-147.334
77.5,-6.78398,-147.443
77.6,-6.76004,-147.553
77.7,-6.73574,-147.664
77.8,-6.71107,-147.776
77.9,-6.68603,-147.889
78.0,-6.66061,-148.004
78.1,-6.63482,-148.12
78.2,-6.60865,-148.238
78.3,-6.58209,-148.356
78.4,-6.55514,-148.476
78.5,-6.5278,-148.597
78.6,-6.50005,-148.719
78.7,-6.47191,-148.843
78.8,-6.44336,-148.968
78.9,-6.41441,-149.095
79.0,-6.38503,-149.222
79.1,-6.35524,-149.351
79.2,-6.32503,-149.482
79.3,-6.29439,-149.613
79.4,-6.26332,-149.746
79.5,-6.23182,-149.881
79.6,-6.19988,-150.017
79.7,-6.1675,-150.154
79.8,-6.13467,-150.293
79.9,-6.10138,-150.433
80.0,-6.06765,-150.574
80.1,-6.03345,-150.717
80.2,-5.9988,-150.862
80.3,-5.96367,-151.008
80.4,-5.92808,-151.156
80.5,-5.892,-151.305
80.6,-5.85545,-151.455
80.7,-5.81842,-151.607
80.8,-5.7809,-151.761
80.9,-5.74289,-151.917
81.0,-5.70438,-152.074
81.1,-5.66537,-152.232
81.2,-5.62585,-152.393
81.3,-5.58583,-152.555
81.4,-5.5453,-152.718
81.5,-5.50426,-152.884
81.6,-5.46269,-153.051
81.7,-5.4206,-153.22
81.8,-5.37798,-153.391
81.9,-5.33483,-153.564
82.0,-5.29114,-153.739
82.1,-5.24692,-153.915
82.2,-5.20215,-154.094
82.3,-5.15684,-154.274
82.4,-5.11097,-154.457
82.5,-5.06455,-154.642
82.6,-5.01758,-154.828
82.7,-4.97004,-155.017
82.8,-4.92194,-155.208
82.9,-4.87327,-155.402
83.0,-4.82403,-155.597
83.1,-4.77421,-155.795
83.2,-4.72382,-155.996
83.3,-4.67284,-156.198
83.4,-4.62128,-156.403
83.5,-4.56914,-156.611
83.6,-4.5164,-156.821
83.7,-4.46307,-157.034
83.8,-4.40915,-157.25
83.9,-4.35463,-157.468
84.0,-4.2995,-157.689
84.1,-4.24378,-157.913
84.2,-4.18745,-158.14
84.3,-4.13051,-158.37
84.4,-4.07297,-158.603
84.5,-4.01482,-158.839
84.6,-3.95605,-159.078
84.7,-3.89667,-159.321
84.8,-3.83668,-159.567
84.9,-3.77607,-159.817
85.0,-3.71485,-160.07
85.1,-3.65301,-160.327
85.2,-3.59056,-160.587
85.3,-3.52749,-160.851
85.4,-3.46381,-161.119
85.5,-3.39952,-161.392
85.6,-3.33461,-161.668
85.7,-3.26909,-161.948
85.8,-3.20296,-162.233
85.9,-3.13622,-162.523
86.0,-3.06888,-162.817
86.1,-3.00094,-163.115
86.2,-2.9324,-163.418
86.3,-2.86327,-163.727
86.4,-2.79355,-164.04
86.5,-2.72324,-164.359
86.6,-2.65236,-164.682
86.7,-2.58091,-165.012
86.8,-2.50889,-165.346
86.9,-2.43632,-165.687
87.0,-2.36319,-166.033
87.1,-2.28954,-166.386
87.2,-2.21535,-166.744
87.3,-2.14064,-167.109
87.4,-2.06543,-167.481
87.5,-1.98973,-167.859
87.6,-1.91354,-168.244
87.7,-1.8369,-168.636
87.8,-1.7598,-169.035
