Angle (deg),Magnitude (dB),Phase (deg)
62.5,-1.70964,174.108
62.6,-1.69407,174.287
62.7,-1.67887,174.464
62.8,-1.66402,174.64
62.9,-1.64951,174.815
63.0,-1.63534,174.987
63.1,-1.6215,175.159
63.2,-1.60798,175.329
63.3,-1.59477,175.497
63.4,-1.58186,175.665
63.5,-1.56926,175.83
63.6,-1.55694,175.994
63.7,-1.54491,176.157
63.8,-1.53316,176.319
63.9,-1.52167,176.478
64.0,-1.51046,176.637
64.1,-1.4995,176.794
64.2,-1.48879,176.95
64.3,-1.47833,177.104
64.4,-1.46812,177.257
64.5,-1.45814,177.409
64.6,-1.44839,177.559
64.7,-1.43886,177.707
64.8,-1.42956,177.855
64.9,-1.42047,178.001
65.0,-1.41159,178.146
65.1,-1.40292,178.289
65.2,-1.39445,178.431
65.3,-1.38618,178.572
65.4,-1.3781,178.711
65.5,-1.37021,178.849
65.6,-1.3625,178.986
65.7,-1.35498,179.122
65.8,-1.34763,179.256
65.9,-1.34046,179.389
66.0,-1.33345,179.52
66.1,-1.32661,179.651
66.2,-1.31994,179.78
66.3,-1.31342,179.907
66.4,-1.30706,-179.966
66.5,-1.30084,-179.841
66.6,-1.29478,-179.717
66.7,-1.28887,-179.594
66.8,-1.28309,-179.472
66.9,-1.27746,-179.352
67.0,-1.27196,-179.233
67.1,-1.2666,-179.115
67.2,-1.26137,-178.998
67.3,-1.25627,-178.882
67.4,-1.25129,-178.768
67.5,-1.24644,-178.655
67.6,-1.24171,-178.543
67.7,-1.23709,-178.432
67.8,-1.23259,-178.322
67.9,-1.2282,-178.214
68.0,-1.22393,-178.106
68.1,-1.21976,-178.0
68.2,-1.2157,-177.895
68.3,-1.21175,-177.791
68.4,-1.20789,-177.689
68.5,-1.20414,-177.587
68.6,-1.20048,-177.487
68.7,-1.19692,-177.387
68.8,-1.19345,-177.289
68.9,-1.19007,-177.192
69.0,-1.18678,-177.096
69.1,-1.18358,-177.001
69.2,-1.18046,-176.908
69.3,-1.17743,-176.815
69.4,-1.17448,-176.724
69.5,-1.17161,-176.633
69.6,-1.16882,-176.544
69.7,-1.1661,-176.456
69.8,-1.16346,-176.369
69.9,-1.16089,-176.283
70.0,-1.15839,-176.198
70.1,-1.15596,-176.114
70.2,-1.1536,-176.032
70.3,-1.1513,-175.95
70.4,-1.14907,-175.87
70.5,-1.1469,-175.79
70.6,-1.14479,-175.712
70.7,-1.14274,-175.635
70.8,-1.14075,-175.558
70.9,-1.13881,-175.483
71.0,-1.13693,-175.409
71.1,-1.1351,-175.336
71.2,-1.13332,-175.264
71.3,-1.13159,-175.194
71.4,-1.12991,-175.124
71.5,-1.12828,-175.055
71.6,-1.12669,-174.988
71.7,-1.12514,-174.921
71.8,-1.12364,-174.856
71.9,-1.12217,-174.791
72.0,-1.12075,-174.728
72.1,-1.11936,-174.666
72.2,-1.11801,-174.605
72.3,-1.11669,-174.544
72.4,-1.1154,-174.485
72.5,-1.11415,-174.428
72.6,-1.11292,-174.371
72.7,-1.11173,-174.315
72.8,-1.11056,-174.26
72.9,-1.10941,-174.206
73.0,-1.10829,-174.154
73.1,-1.10719,-174.102
73.2,-1.10611,-174.052
73.3,-1.10504,-174.002
73.4,-1.104,-173.954
73.5,-1.10297,-173.907
73.6,-1.10196,-173.861
73.7,-1.10095,-173.816
73.8,-1.09996,-173.772
73.9,-1.09898,-173.729
74.0,-1.09801,-173.687
74.1,-1.09704,-173.646
74.2,-1.09607,-173.606
74.3,-1.09511,-173.568
74.4,-1.09415,-173.53
74.5,-1.09319,-173.494
74.6,-1.09223,-173.458
74.7,-1.09126,-173.424
74.8,-1.09029,-173.391
74.9,-1.08931,-173.359
75.0,-1.08833,-173.328
75.1,-1.08733,-173.298
75.2,-1.08632,-173.269
75.3,-1.08529,-173.241
75.4,-1.08425,-173.215
75.5,-1.0832,-173.189
75.6,-1.08212,-173.165
75.7,-1.08102,-173.141
75.8,-1.07991,-173.119
75.9,-1.07876,-173.098
76.0,-1.07759,-173.078
76.1,-1.07639,-173.059
76.2,-1.07517,-173.041
76.3,-1.07391,-173.025
76.4,-1.07261,-173.009
76.5,-1.07128,-172.994
76.6,-1.06992,-172.981
76.7,-1.06851,-172.969
76.8,-1.06707,-172.957
76.9,-1.06558,-172.947
77.0,-1.06405,-172.938
77.1,-1.06247,-172.931
77.2,-1.06084,-172.924
77.3,-1.05916,-172.918
77.4,-1.05743,-172.914
77.5,-1.05565,-172.91
77.6,-1.05381,-172.908
77.7,-1.05191,-172.907
77.8,-1.04995,-172.907
77.9,-1.04793,-172.908
78.0,-1.04585,-172.91
78.1,-1.0437,-172.913
78.2,-1.04148,-172.917
78.3,-1.03919,-172.923
78.4,-1.03683,-172.929
78.5,-1.0344,-172.937
78.6,-1.03189,-172.946
78.7,-1.02931,-172.956
78.8,-1.02665,-172.967
78.9,-1.0239,-172.979
79.0,-1.02107,-172.992
79.1,-1.01816,-173.006
79.2,-1.01516,-173.021
79.3,-1.01207,-173.038
79.4,-1.00889,-173.055
79.5,-1.00562,-173.074
79.6,-1.00225,-173.094
79.7,-0.998791,-173.115
79.8,-0.99523,-173.137
79.9,-0.99157,-173.16
80.0,-0.987808,-173.184
80.1,-0.983942,-173.209
80.2,-0.979972,-173.235
80.3,-0.975894,-173.262
80.4,-0.971708,-173.291
80.5,-0.967412,-173.32
80.6,-0.963004,-173.35
80.7,-0.958483,-173.382
80.8,-0.953846,-173.414
80.9,-0.949092,-173.448
81.0,-0.944221,-173.483
81.1,-0.939229,-173.518
81.2,-0.934117,-173.555
81.3,-0.928882,-173.593
