Angle (deg),Magnitude (dB),Phase (deg)
79.3,-6.84573,-140.259
79.4,-6.73988,-140.417
79.5,-6.63474,-140.578
79.6,-6.53029,-140.742
79.7,-6.42654,-140.908
79.8,-6.32346,-141.078
79.9,-6.22106,-141.25
80.0,-6.11933,-141.425
80.1,-6.01826,-141.604
80.2,-5.91784,-141.785
80.3,-5.81808,-141.97
80.4,-5.71895,-142.158
80.5,-5.62047,-142.349
80.6,-5.52263,-142.543
80.7,-5.42542,-142.741
80.8,-5.32883,-142.943
80.9,-5.23288,-143.147
81.0,-5.13754,-143.355
81.1,-5.04283,-143.567
81.2,-4.94874,-143.782
81.3,-4.85527,-144.001
81.4,-4.76241,-144.224
81.5,-4.67018,-144.451
81.6,-4.57856,-144.681
81.7,-4.48755,-144.915
81.8,-4.39717,-145.153
81.9,-4.30741,-145.395
82.0,-4.21827,-145.641
82.1,-4.12975,-145.891
82.2,-4.04186,-146.145
82.3,-3.9546,-146.403
82.4,-3.86798,-146.665
82.5,-3.78199,-146.932
82.6,-3.69664,-147.203
82.7,-3.61194,-147.479
82.8,-3.5279,-147.758
82.9,-3.44451,-148.042
83.0,-3.36178,-148.331
83.1,-3.27972,-148.624
83.2,-3.19834,-148.922
83.3,-3.11765,-149.225
83.4,-3.03765,-149.532
83.5,-2.95835,-149.843
83.6,-2.87976,-150.16
83.7,-2.80189,-150.481
83.8,-2.72475,-150.807
83.9,-2.64835,-151.138
84.0,-2.5727,-151.474
84.1,-2.49781,-151.815
84.2,-2.4237,-152.16
84.3,-2.35037,-152.511
84.4,-2.27783,-152.867
84.5,-2.20611,-153.228
84.6,-2.13521,-153.593
84.7,-2.06515,-153.964
84.8,-1.99594,-154.34
84.9,-1.9276,-154.721
85.0,-1.86014,-155.107
85.1,-1.79358,-155.499
85.2,-1.72792,-155.895
85.3,-1.6632,-156.297
85.4,-1.59943,-156.703
85.5,-1.53661,-157.115
85.6,-1.47478,-157.532
85.7,-1.41394,-157.954
85.8,-1.35412,-158.381
85.9,-1.29533,-158.813
86.0,-1.23759,-159.25
86.1,-1.18093,-159.693
86.2,-1.12535,-160.14
86.3,-1.07088,-160.592
86.4,-1.01753,-161.049
86.5,-0.965335,-161.511
86.6,-0.914303,-161.978
86.7,-0.864455,-162.449
86.8,-0.815812,-162.925
86.9,-0.768393,-163.406
87.0,-0.722217,-163.891
87.1,-0.677304,-164.381
87.2,-0.633672,-164.875
87.3,-0.591342,-165.374
87.4,-0.550332,-165.877
87.5,-0.510661,-166.383
87.6,-0.472348,-166.894
87.7,-0.43541,-167.409
87.8,-0.399865,-167.927
87.9,-0.365732,-168.449
88.0,-0.333027,-168.975
88.1,-0.301767,-169.504
88.2,-0.271968,-170.037
88.3,-0.243646,-170.572
88.4,-0.216816,-171.11
88.5,-0.191492,-171.652
88.6,-0.167688,-172.196
88.7,-0.145418,-172.742
88.8,-0.124693,-173.291
88.9,-0.105526,-173.842
89.0,-0.0879276,-174.396
89.1,-0.0719077,-174.951
89.2,-0.0574756,-175.507
89.3,-0.0446398,-176.065
89.4,-0.0334078,-176.625
89.5,-0.0237862,-177.186
89.6,-0.0157807,-177.747
89.7,-0.00939606,-178.31
89.8,-0.004636,-178.873
89.9,-0.00150337,-179.436
90.0,0.0,-180.0
